City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,muar,2.0442,102.5689,28.35,84,99,2.76,MY,1711328576
1,albany,42.6001,-73.9662,-1.91,74,16,1.52,US,1711328433
2,ushuaia,-54.8,-68.3,7.81,81,0,5.14,AR,1711328406
3,stanley,54.868,-1.6985,3.4,93,0,0.51,GB,1711328579
4,waitangi,-43.9535,-176.5597,17.12,89,5,1.79,NZ,1711328580
5,plettenberg bay,-34.0527,23.3716,19.87,91,100,3.48,ZA,1711328581
6,port-aux-francais,-49.35,70.2167,4.23,72,94,15.84,TF,1711328582
7,blackmans bay,-43.0167,147.3167,19.07,70,100,4.92,AU,1711328583
8,leh,34.1667,77.5833,-11.42,89,76,0.78,IN,1711328584
9,shakawe,-18.3667,21.85,17.88,80,22,1.52,BW,1711328584
10,kifri,34.6959,44.9661,12.46,94,95,4.01,IQ,1711328585
11,lompoc,34.6391,-120.4579,15.52,63,100,9.26,US,1711328311
12,edinburgh of the seven seas,-37.0676,-12.3116,15.42,61,80,3.74,SH,1711328587
13,papatowai,-46.5619,169.4708,16.79,47,100,4.57,NZ,1711328587
14,bethel,41.3712,-73.414,3.63,61,4,1.34,US,1711328561
15,itaituba,-4.2761,-55.9836,23.75,99,100,1.5,BR,1711328319
16,west island,-12.1568,96.8225,27.99,89,80,3.09,CC,1711328590
17,yellowknife,62.456,-114.3525,-4.69,42,20,7.15,CA,1711328460
18,puerto natales,-51.7236,-72.4875,9.59,96,100,0.66,CL,1711328486
19,georgetown,5.4112,100.3354,28.96,83,20,2.57,MY,1711328520
20,iskateley,67.6803,53.1512,-29.99,100,48,1.34,RU,1711328594
21,volosovo,59.4333,29.4833,2.1,97,100,1.65,RU,1711328594
22,san julian,21.0167,-102.1667,20.29,6,61,6.08,MX,1711328595
23,grytviken,-54.2811,-36.5092,-2.09,77,10,5.52,GS,1711328596
24,klyuchi,52.2667,79.1667,-1.98,88,100,6.31,RU,1711328597
25,hithadhoo,-0.6,73.0833,29.42,71,70,3.29,MV,1711328598
26,nemuro,43.3236,145.575,0.79,75,100,4.91,JP,1711328599
27,sitka,57.0531,-135.33,6.86,80,100,2.69,US,1711328394
28,carnarvon,-24.8667,113.6333,26.93,39,0,5.83,AU,1711328601
29,kodiak,57.79,-152.4072,4.73,93,100,2.57,US,1711328601
30,college,64.8569,-147.8028,5.67,50,60,0.39,US,1711328602
31,berezovyy,51.6667,135.7,-4.47,50,32,2.26,RU,1711328603
32,adamstown,-25.066,-130.1015,25.85,77,55,4.91,PN,1711328604
33,portland,45.5234,-122.6762,12.71,90,100,1.79,US,1711328545
34,qamdo,31.1667,97.2333,-1.98,24,70,2.98,CN,1711328606
35,thompson,55.7435,-97.8558,-14.91,43,0,4.63,CA,1711328606
36,amga,60.8953,131.9608,-10.95,78,52,3.82,RU,1711328607
37,bredasdorp,-34.5322,20.0403,15.99,90,8,2.1,ZA,1711328608
38,vorkuta,67.5,64.0,-32.55,100,49,0.35,RU,1711328609
39,bahir dar,11.5936,37.3908,21.74,49,91,0.67,ET,1711328427
40,carauari,-4.8828,-66.8958,23.08,94,100,0.88,BR,1711328611
41,chisineu-cris,46.5333,21.5167,4.0,80,14,1.68,RO,1711328611
42,puerto ayora,-0.7393,-90.3518,26.97,95,100,0.89,EC,1711328612
43,chonchi,-42.6128,-73.8092,13.56,98,99,0.78,CL,1711328504
44,iqaluit,63.7506,-68.5145,-10.15,78,100,5.66,CA,1711328482
45,crane,31.3974,-102.3501,19.46,16,1,13.19,US,1711328614
46,berezovo,63.9381,65.0419,-26.02,98,61,2.93,RU,1711328615
47,margaret river,-33.95,115.0667,20.2,41,81,4.04,AU,1711328616
48,lakatoro,-16.0999,167.4164,28.9,79,100,2.25,VU,1711328616
49,ribeira grande,38.5167,-28.7,14.32,75,100,7.15,PT,1711328617
50,abancay,-13.6339,-72.8814,15.68,95,98,1.78,PE,1711328618
51,jiayuguan,39.8167,98.3,8.65,38,1,1.75,CN,1711328619
52,kerikeri,-35.2268,173.9474,23.62,43,7,1.99,NZ,1711328620
53,isafjordur,66.0755,-23.124,-8.14,81,77,2.23,IS,1711328495
54,whitehorse,60.7161,-135.0538,9.43,29,40,4.63,CA,1711328226
55,anadyr,64.75,177.4833,-23.72,76,20,6.0,RU,1711328625
56,ilulissat,69.2167,-51.1,2.01,48,100,10.8,GL,1711328625
57,olonkinbyen,70.9221,-8.7187,-5.43,59,100,6.24,SJ,1711328626
58,strelka,58.0728,93.0344,-0.49,85,100,4.72,RU,1711328627
59,tiksi,71.6872,128.8694,-23.59,97,90,1.05,RU,1711328627
60,namtsy,62.7161,129.6658,-13.68,85,100,5.27,RU,1711328630
61,richards bay,-28.783,32.0377,21.29,93,53,2.49,ZA,1711328456
62,kapuskasing,49.4169,-82.4331,-3.95,33,40,2.06,CA,1711328342
63,bilibino,68.0546,166.4372,-19.02,83,19,1.57,RU,1711328633
64,karmaskaly,54.3709,56.1837,0.95,95,100,4.66,RU,1711328634
65,laojunmiao,39.8333,97.7333,5.5,45,0,2.18,CN,1711328634
66,sibay,52.7181,58.6658,-2.1,90,99,3.13,RU,1711328587
67,usinsk,65.9939,57.5281,-27.74,95,6,3.13,RU,1711328636
68,san antonio de pale,-1.4014,5.6325,28.04,81,100,2.05,GQ,1711328446
69,susuman,62.7833,148.1667,-10.84,86,99,1.81,RU,1711328637
70,san patricio,28.017,-97.5169,22.13,80,95,9.03,US,1711328638
71,guangyuan,32.442,105.823,13.87,60,96,2.06,CN,1711328639
72,okhotsk,59.3833,143.3,-4.2,88,100,2.6,RU,1711328639
73,tsiombe,-25.3,45.4833,22.12,74,5,7.97,MG,1711328640
74,adi keyh,14.8444,39.3772,16.8,58,100,1.54,ER,1711328641
75,esquel,-42.9,-71.3167,13.85,72,99,1.0,AR,1711328588
76,palangkaraya,-2.2,113.8333,26.31,91,83,1.64,ID,1711328643
77,inirida,3.8653,-67.9239,26.21,80,61,1.44,CO,1711328644
78,mao,39.8885,4.2658,13.31,71,0,2.57,ES,1711328644
79,afaahiti,-17.75,-149.2833,29.93,79,63,3.77,PF,1711328645
80,mount pearl,47.5166,-52.7813,8.51,94,100,10.8,CA,1711328412
81,sampit,-2.5333,112.95,25.67,94,98,1.54,ID,1711328647
82,port alfred,-33.5906,26.891,20.1,93,100,0.89,ZA,1711328647
